ID,Authors,QA1,QA2,QA3,QA4,QA5,Total
S036,"Chen, S. et al.",1.0,1.0,1.0,1.0,1.0,5.0
S037,"Debenedetti, E. et al.",0.5,0.5,1.0,1.0,1.0,4.0
S038,"Yan, J. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S039,"Anil, C. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S040,"Pasquini, D. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S041,"Guo, Y. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S042,"Pedro, R. et al.",1.0,1.0,1.0,1.0,1.0,5.0
S043,"Yao, Y. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S044,"Das, B.C., Amini, M.H., & Wu, Y.",1.0,0.5,1.0,1.0,1.0,4.5
S045,"Mozes, M. et al.",1.0,0.5,0.5,0.5,1.0,3.5
S046,"Miles Q. Li ,  Benjamin C.M. Fung ",1.0,0.5,0.5,0.5,1.0,3.5
S047,"Mazeika, M. et al.",1.0,1.0,1.0,1.0,1.0,5.0
S048,OWASP Foundation,0.5,0.5,0.5,1.0,1.0,3.5
S049,"Willison, S.",1.0,0.5,0.5,0.5,1.0,3.5
S050,Anthropic,1.0,0.5,0.5,1.0,1.0,4.0
S051,"Datta, S., Pham, T., Patel, A., & Chhabra, A.",1.0,0.5,0.5,0.5,1.0,3.5
S052,"Narajala, V.S. & Narayan, B.",1.0,0.5,0.5,1.0,1.0,4.0
S053,"Shi, J., Yuan, Z., Liu, Y., Huang, Y., Zhou, P., Sun, L., & Gong, N.Z.",1.0,1.0,0.5,0.5,1.0,4.0
S054,"He, F., Zhu, T., Ye, D., Liu, B., Zhou, W., & Yu, P.S.",1.0,1.0,1.0,1.0,1.0,5.0
S055,"Shahriar, A., Llanso, T., Kroeger, B., Reza, T., & Reza, M.",1.0,0.5,0.5,0.5,1.0,3.5
S056,"Yuan, M., Kang, M., & Li, B.",1.0,1.0,1.0,0.5,1.0,4.5
S057,"Luo, W., Dai, S., Liu, X., Banerjee, S., Sun, H., Chen, M., & Xiao, C.",1.0,1.0,1.0,0.5,1.0,4.5
S058,"Deng, G. et al.",1.0,0.5,0.5,0.5,1.0,3.5
S059,"OWASP Agentic Security Initiative (Bryan, K. et al.)",0.5,0.5,0.5,1.0,1.0,3.5
S060,"Happe, A. & Cito, J.",1.0,0.5,0.5,1.0,1.0,4.0
S061,"Lazer, S.J., Adabara, I., Doan, X.M., & Atir, U.",1.0,0.5,0.5,0.5,1.0,3.5
S062,"Zhang, K., Su, Z., Chen, P.-Y., Bertino, E., Zhang, X., & Li, N.",1.0,1.0,1.0,0.5,1.0,4.5
S063,"Ferrag, M.A. et al.",1.0,1.0,0.5,0.5,1.0,4.0
S064,"Zou, A. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S065,"Vinay, V.",1.0,0.5,0.5,0.5,1.0,3.5
S066,"S,M,Hossain et al",1.0,1.0,1.0,0.5,1.0,4.5
S067,"Leon, S. et al.",1.0,0.5,0.5,1.0,1.0,4.0
S068,"Fang, R., Bindu, R., Gupta, A., & Kang, D.",1.0,1.0,0.5,0.5,1.0,4.0
S069,"Liu, R. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S070,NIST AI Staff,0.5,0.5,0.5,1.0,1.0,3.5
S071,"Adabara, I. et al.",1.0,0.5,0.5,0.5,1.0,3.5
S072,"Zhang, H. et al.",1.0,1.0,0.5,1.0,1.0,4.5
S073,"Yue, H. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S074,"Huang, K. (Ed.)",0.5,0.5,0.5,1.0,1.0,3.5
S075,"Schroeder de Witt, C. et al.",0.5,0.5,0.5,1.0,1.0,3.5
